title,author,price,pub,pub_date
기본기가 탄탄한 자바 개발자,벤저민 J. 에번스,40500,제이펍,2024년 08월 14일
기본기가 탄탄한 자바 개발자,벤저민 J. 에번스,40500,제이펍,2024년 08월 14일
"<span id=""cmdtName_S000213907278"">기본기가 탄탄한 자바 개발자</span>",벤저민 J. 에번스,40500,제이펍,2024년 08월 14일
"<span id=""cmdtName_S000213907278"">기본기가 탄탄한 자바 개발자</span>",벤저민 J. 에번스,40500,제이펍,2024년 08월 14일
,이경오,0,한빛미디어,2021년 10월 29일
,고현민,0,리코멘드,2023년 08월 10일
,이경오,0,한빛미디어,2021년 10월 29일
,정미나,21600,시대고시기획,2024년 02월 05일
,토머스 닐드,27000,한빛미디어,2024년 06월 03일
,조시형,34200,디비안(주)(DBian),2018년 06월 01일
,주홍철,21600,길벗,2022년 04월 28일
,강선우,대여/소장 가능,KW북스,2024년 01월 11일
,임호진,21600,영진닷컴,2024년 01월 26일
,김우근,28800,위키북스,2024년 06월 11일
,주홍철,0,길벗,2022년 05월 06일
,박성철,19800,골든래빗(주),2022년 12월 20일
,카이마이 미즈히로,18000,프리렉,2024년 05월 17일
,토머스 닐드,0,한빛미디어,2024년 06월 03일
,이남희,19800,한빛미디어,2024년 03월 25일
,송경빈,17820,보누스,2024년 03월 25일
,백은빈,27000,위키북스,2021년 09월 08일
,심준보,19800,이지스퍼블리싱,2024년 07월 08일
,신선영,28800,골든래빗(주),2024년 04월 05일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000213907278"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000213907278&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span class=""prod_label"" id=""gubun3_S000213907278"">예약판매</span>
<span id=""cmdtName_S000213907278"">기본기가 탄탄한 자바 개발자</span>
</a>",벤저민 J. 에번스,40500,제이펍,2024년 08월 14일
"<a class=""prod_info"" href=""https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000003590696"" onclick=""searchResultItemClickEvent('상품 제목', &quot;E000003590696&quot;);"">
<span class=""prod_category"">[eBook]</span>
<span id=""cmdtName_E000003590696"">[무료전자책] 이경오의 SQL+SQLD 비밀노트 - 기본 및 활용 편</span>
</a>",이경오,0,한빛미디어,2021년 10월 29일
"<a class=""prod_info"" href=""https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000005349475"" onclick=""searchResultItemClickEvent('상품 제목', &quot;E000005349475&quot;);"">
<span class=""prod_category"">[eBook]</span>
<span id=""cmdtName_E000005349475"">얄코의 TOO MUCH 친절한 깃&amp;깃허브(무료특별판)</span>
</a>",고현민,0,리코멘드,2023년 08월 10일
"<a class=""prod_info"" href=""https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000003590698"" onclick=""searchResultItemClickEvent('상품 제목', &quot;E000003590698&quot;);"">
<span class=""prod_category"">[eBook]</span>
<span id=""cmdtName_E000003590698"">[무료전자책] 이경오의 SQL+SQLD 비밀노트 - 시험 직전 비밀노트 편</span>
</a>",이경오,0,한빛미디어,2021년 10월 29일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000211514863"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000211514863&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000211514863"">2024 SD에듀 유선배 SQL개발자(SQLD) 과외노트</span>
</a>",정미나,21600,시대고시기획,2024년 02월 05일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000213417669"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000213417669&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000213417669"">개발자를 위한 필수 수학</span>
</a>",토머스 닐드,27000,한빛미디어,2024년 06월 03일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000001975837"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000001975837&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span class=""prod_alias"" id=""kwch_S000001975837"">개발자를 위한 SQL 튜닝 입문서</span>
<span id=""cmdtName_S000001975837"">친절한 SQL 튜닝</span>
</a>",조시형,34200,디비안(주)(DBian),2018년 06월 01일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000001834833"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000001834833&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000001834833"">면접을 위한 CS 전공지식 노트</span>
</a>",주홍철,21600,길벗,2022년 04월 28일
"<a class=""prod_info"" href=""https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000005871210"" onclick=""searchResultItemClickEvent('상품 제목', &quot;E000005871210&quot;);"">
<span class=""prod_category"">[웹소설]</span>
<span id=""cmdtName_E000005871210"">퇴사한 게임 개발자가 너무 유능함</span>
</a>",강선우,대여/소장 가능,KW북스,2024년 01월 11일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000212055970"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000212055970&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000212055970"">2024 이기적 SQL 개발자 이론서+기출문제</span>
</a>",임호진,21600,영진닷컴,2024년 01월 26일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000213447953"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000213447953&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000213447953"">자바/스프링 개발자를 위한 실용주의 프로그래밍</span>
</a>",김우근,28800,위키북스,2024년 06월 11일
"<a class=""prod_info"" href=""https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000002950899"" onclick=""searchResultItemClickEvent('상품 제목', &quot;E000002950899&quot;);"">
<span class=""prod_category"">[eBook]</span>
<span id=""cmdtName_E000002950899"">면접을 위한 CS 전공지식 노트</span>
</a>",주홍철,0,길벗,2022년 05월 06일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000200381165"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000200381165&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000200381165"">개발자 원칙</span>
</a>",박성철,19800,골든래빗(주),2022년 12월 20일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000213221976"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000213221976&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span class=""prod_alias"" id=""kwch_S000213221976"">생각한 대로 말할 수 없어 답답했던</span>
<span id=""cmdtName_S000213221976"">개발자를 위한 생각의 정리, 문서 작성법</span>
</a>",카이마이 미즈히로,18000,프리렉,2024년 05월 17일
"<a class=""prod_info"" href=""https://ebook-product.kyobobook.co.kr/dig/epd/ebook/E000007755190"" onclick=""searchResultItemClickEvent('상품 제목', &quot;E000007755190&quot;);"">
<span class=""prod_category"">[eBook]</span>
<span id=""cmdtName_E000007755190"">개발자를 위한 필수 수학</span>
</a>",토머스 닐드,0,한빛미디어,2024년 06월 03일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000212738756"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000212738756&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span class=""prod_alias"" id=""kwch_S000212738756"">연봉 앞자리를 바꾸는</span>
<span id=""cmdtName_S000212738756"">개발자 기술 면접 노트</span>
</a>",이남희,19800,한빛미디어,2024년 03월 25일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000212759049"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000212759049&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000212759049"">인공지능 구조 원리 교과서</span>
</a>",송경빈,17820,보누스,2024년 03월 25일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000001766482"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000001766482&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000001766482"">Real MySQL 8.0 (1권)</span>
</a>",백은빈,27000,위키북스,2021년 09월 08일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000213766983"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000213766983&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000213766983"">Do it! IT 서비스 이해를 위한 네트워크 기초</span>
</a>",심준보,19800,이지스퍼블리싱,2024년 07월 08일
"<a class=""prod_info"" href=""https://product.kyobobook.co.kr/detail/S000212798297"" onclick=""searchResultItemClickEvent('상품 제목', &quot;S000212798297&quot;);"">
<span class=""prod_category"">[국내도서]</span>
<span id=""cmdtName_S000212798297"">스프링 부트 3 백엔드 개발자 되기: 자바 편</span>
</a>",신선영,28800,골든래빗(주),2024년 04월 05일
기본기가 탄탄한 자바 개발자,벤저민 J. 에번스,40500,제이펍,2024년 08월 14일
[무료전자책] 이경오의 SQL+SQLD 비밀노트 - 기본 및 활용 편,이경오,0,한빛미디어,2021년 10월 29일
얄코의 TOO MUCH 친절한 깃&깃허브(무료특별판),고현민,0,리코멘드,2023년 08월 10일
[무료전자책] 이경오의 SQL+SQLD 비밀노트 - 시험 직전 비밀노트 편,이경오,0,한빛미디어,2021년 10월 29일
2024 SD에듀 유선배 SQL개발자(SQLD) 과외노트,정미나,21600,시대고시기획,2024년 02월 05일
개발자를 위한 필수 수학,토머스 닐드,27000,한빛미디어,2024년 06월 03일
친절한 SQL 튜닝,조시형,34200,디비안(주)(DBian),2018년 06월 01일
면접을 위한 CS 전공지식 노트,주홍철,21600,길벗,2022년 04월 28일
퇴사한 게임 개발자가 너무 유능함,강선우,대여/소장 가능,KW북스,2024년 01월 11일
2024 이기적 SQL 개발자 이론서+기출문제,임호진,21600,영진닷컴,2024년 01월 26일
자바/스프링 개발자를 위한 실용주의 프로그래밍,김우근,28800,위키북스,2024년 06월 11일
면접을 위한 CS 전공지식 노트,주홍철,0,길벗,2022년 05월 06일
개발자 원칙,박성철,19800,골든래빗(주),2022년 12월 20일
개발자를 위한 생각의 정리 문서 작성법,카이마이 미즈히로,18000,프리렉,2024년 05월 17일
개발자를 위한 필수 수학,토머스 닐드,0,한빛미디어,2024년 06월 03일
개발자 기술 면접 노트,이남희,19800,한빛미디어,2024년 03월 25일
인공지능 구조 원리 교과서,송경빈,17820,보누스,2024년 03월 25일
Real MySQL 8.0 (1권),백은빈,27000,위키북스,2021년 09월 08일
Do it! IT 서비스 이해를 위한 네트워크 기초,심준보,19800,이지스퍼블리싱,2024년 07월 08일
스프링 부트 3 백엔드 개발자 되기_ 자바 편,신선영,28800,골든래빗(주),2024년 04월 05일
